procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 0  0    524 385192  65348 876640    0    0     0     0   74  116  0  0 100  0  0
 0  0    524 385192  65348 876640    0    0     0     0   73  118  0  0 100  0  0
 0  0    524 385192  65348 876640    0    0     0     0   68  118  0  0 100  0  0
 0  0    524 385192  65364 876632    0    0     0     3   80  119  0  0 100  0  0
 0  0    524 385192  65364 876640    0    0     0     1   72  116  0  0 100  0  0
 0  0    524 385192  65364 876640    0    0     0     0   67  113  0  0 100  0  0
 0  0    524 385192  65364 876640    0    0     0     0   73  113  0  0 100  0  0
 0  0    524 385192  65364 876640    0    0     0     0   81  147  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0    524 385444  65364 876640    0    0     0     0   75  117  0  0 100  0  0
 0  0    524 385444  65364 876640    0    0     0     0   70  111  0  0 100  0  0
 0  0    524 385444  65364 876640    0    0     0     0   68  116  0  0 100  0  0
 2  0    524 385444  65364 876640    0    0     0     0   72  114  0  0 100  0  0
 0  0    524 385192  65364 876640    0    0     0     0   82  127  0  0 100  0  0
 0  0    524 385192  65380 876640    0    0     0     3  217  423  0  0 100  0  0
 0  0    524 385192  65380 876640    0    0     0     1   95  146  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0  107  187  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0   70  117  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0   72  114  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0   73  117  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0   70  113  0  0 100  0  0
 0  0    524 385444  65380 876640    0    0     0     0   70  120  0  0 100  0  0
 0  0    524 385192  65388 877192    0    0    18     0   74  118  0  0 100  0  0
 0  0    524 385192  65392 877192    0    0     0     0   75  115  0  0 100  0  0
 0  0    524 384688  65416 877348    0    0     0     4  203  285  0  0 100  0  0
 1  0    524 383640  65472 877572    0    0     3    53  121  196  0  0 100  0  0
 0  0    524 383356  65496 877612    0    0     0     9   82  115  0  0 100  0  0
 0  0    524 383608  65500 877612    0    0     0     0   78  122  0  0 100  0  0
 0  0    524 383608  65500 877612    0    0     0     0   82  113  0  0 100  0  0
 0  0    524 383860  65500 877612    0    0     0     0   72  121  0  0 100  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
 r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
 2  0    524 383860  65500 877612    0    0     0     0   73  112  0  0 100  0  0
 0  0    524 383608  65500 877612    0    0     0     0   72  118  0  0 100  0  0
