procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
1  0 346080 109184   8988 400536    0    0    18   158  602  644  5  0 95  0  0
0  0 346080 110160   9144 400872    1    0    30    81  611  442  3  1 96  0  0
0  0 345824 105876   9172 398696   34    0    56    65  683 1605 14  1 84  0  0
0  0 345568 106380   9196 398840   12    0    12    26  624  349  2  0 98  0  0
0  0 345568  97744   9212 398100    0    0     1    44  597  502  5  0 94  0  0
0  0 345568 194368   9236 398448    2    0    26    86  592  450  4  1 95  0  0
0  0 345568 202420   9252 395188    0    0     4    50  597  351  2  0 98  0  0
0  0 345568 196352   9276 395252    0    0     4    16  576  475  4  0 96  0  0
0  0 345568 197864   9300 396076    0    0     2    65  602  331  1  0 98  0  0
0  0 345568 190052   9324 395392    0    0     9    49  604  596  5  1 95  0  0
0  0 345568 189232   9340 395468    0    0     1    50  590  436  3  0 97  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 345568 193768   9372 396332    0    0     3    36  588  322  1  0 98  0  0
0  0 345568 194492   9388 396500    0    0     1    55  587  339  2  0 98  0  0
0  0 345568 193736   9412 396552    1    0     4    44  583  386  1  0 98  0  0
2  1 345568 113588  10532 457756    0    0  3809  1271 1297 2094  8  3 88  2  0
0  0 351456 220776   8444 369196    0  388  6024  7320 1392 2097 12  6 73  9  0
0  0 351456 219516   8480 371120    0    0    92    11  574  368  2  0 98  0  0
1  0 351456 218256   8532 371584    0    0    34    43  567  316  1  0 98  0  0
0  0 351456 214508   8560 371516    0    0    48    80  570  378  3  0 97  0  0
0  0 351456 210476   8576 373900    0    0   105    41  591  406  2  0 97  0  0
0  0 351456 206508   8592 374064    0    0     8    51  534  425  4  1 96  0  0
0  0 351456 202444   8616 373320    1    0     4    35  555  468  3  0 96  0  0
1  0 351456 187040   8632 374256    0    0     4    36  564  708  6  1 93  0  0
0  0 351456 296152   8664 375064    0    0    47    57  551  390  4  1 95  0  0
0  0 351456 292876   9088 378600    0    0   255    42  631  377  2  0 98  0  0
0  0 351456 290104   9112 378708    0    0     8    44  690  332  2  0 98  0  0
0  0 351200 286072   9144 379924   26    0   108    64  779 1082 10  3 87  0  0
0  0 351200 287552   9160 379948    0    0     2    56  653  349  2  0 97  0  0
0  0 351200 289064   9176 380092    0    0     1    11  652  330  1  0 98  0  0
0  0 351200 288560   9200 380088    0    0     1    76  624  275  1  0 98  0  0
0  0 351200 288560   9216 380108    0    0     1    31  596  293  1  0 98  0  0
0  0 351200 287300   9248 380144    0    0     3    77  578  275  1  0 98  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 351200 282260   9264 379488    0    0     8    16  600  399  4  0 95  0  0
0  0 351200 267612   9288 380660    0    0    26    27  609  421  4  0 95  0  0
0  0 351200 264524   9304 380744    0    0     2    79  625  358  2  0 97  0  0
0  0 351200 267800   9320 381240    0    0    30    20  639  298  1  0 98  0  0
0  0 351200 267800   9336 380492    0    0     1    55  602  378  3  0 96  0  0
1  0 351200 266256   9360 381328    2    0     3    43 1826 1357  2  0 98  0  0
0  0 349152 256160   9676 387740  135    0   575    23 2383 1661  2  0 98  0  0
0  0 349152 232400   9852 390500    5    0   145    99 2250 1804  4  1 95  0  0
0  0 349152 224596   9908 388900    0    0     1   177  621  383  4  0 96  0  0
0  0 349152 274808   9924 389748    0    0     2    18  593  372  2  0 97  0  0
0  0 349152 278052   9940 389756    0    0     1    94  598  336  2  0 98  0  0
0  0 349152 273012   9964 388968    0    0     1    12  584  384  3  0 97  0  0
0  0 349152 273516   9988 389788    0    0     1    97  590  328  2  0 98  0  0
0  0 349152 273264  10004 389820    0    0     1    23  597  360  2  0 93  5  0
0  0 349152 263372  10028 389952    0    0     5   108  612  393  3  0 97  0  0
0  0 349152 266648  10036 389952    0    0     1     4  601  252  1  0 99  0  0
0  0 349152 267656  10044 390084    0    0     9     5  608  286  1  0 98  0  0
0  0 349152 267120  10068 390200    1    0     7    61  615  352  2  0 98  0  0
0  0 349152 267372  10084 390208    0    0     1     6  598  233  1  0 99  0  0
0  0 349152 267372  10236 390212    0    0    10    86  585  307  1  0 98  0  0
0  0 349152 266868  10244 390240    1    0     1    26  594  307  1  0 98  0  0
procs -----------memoria---------- ---swap-- -----io---- -sistema-- ------cpu-----
r  b   swpd  libre búfer caché   si   so    bi    bo   in   cs us sy id wa st
4  0 349152 266364  10260 390248    0    0     1    50  586  304  1  0 99  0  0
0  0 349152 266868  10276 390288    0    0     1    41  614  293  1  0 98  0  0
0  0 349152 266364  10292 390316    0    0     2    73  584  245  1  0 98  0  0
1  0 349152 266616  10316 390320    0    0     1    38  595  275  1  0 98  0  0
0  0 349152 266616  10324 390320    0    0     1    11  585  273  1  0 98  0  0
0  0 349152 266364  10332 390348    0    0     1    93  603  268  1  0 98  0  0
0  0 349152 264348  10348 390356    0    0     1     9  655  391  2  0 98  0  0
0  0 349152 264568  10372 390380    0    0     1    13  618  289  1  0 98  0  0
0  0 349152 264316  10388 390396    0    0     2    98  591  263  2  0 98  0  0
0  0 349152 263592  10412 390456    0    0     1    16  619  352  2  0 98  0  0
0  0 349152 263088  10420 390456    0    0     1     6  597  265  1  0 99  0  0
0  0 349152 249228  10512 404608    0    0   951   908  565  376 22  1 76  1  0
0  0 349152 249732  10520 404616    1    0     1    15  630  284  1  0 98  0  0
0  0 349152 249732  10548 404628    0    0     1   224  622  278  1  0 98  0  0
0  0 349152 249228  10564 404632    0    0     1    35  607  319  2  0 98  0  0
0  0 349152 248692  10588 404668    0    0     1    10  613  308  1  0 98  0  0
0  0 349152 248692  10596 404672    0    0     1    81  662  283  1  0 98  0  0
0  0 349152 248692  10612 404836    0    0     1    29  635  287  1  0 98  0  0
5  0 349152 232808  10644 404032    0    0     1    77  623  450  5  0 95  0  0
0  0 349152 238832  10660 404040    0    0     1    28  604  393  3  0 97  0  0
